NOME	GRANDE_AREA	AREA	SUB_AREA	ESPECIALIDADE
GUTTEMBERG DA SILVA SILVINO	Ciências Agrárias	Agronomia	Agrometeorologia	nan
VALERIA PEIXOTO BORGES	Ciências Agrárias	Agronomia	Agrometeorologia	nan
ALEXANDRE PAIVA DA SILVA	Ciências Agrárias	Agronomia	Ciência do Solo	Fertilidade do Solo e Adubação
FLAVIO PEREIRA DE OLIVEIRA	Ciências Agrárias	Agronomia	Ciência do Solo	Física do Solo
MILTON CESAR COSTA CAMPOS	Ciências Agrárias	Agronomia	Ciência do Solo	Gênese Morfologia e Classificação dos Solos
BRUNO DE OLIVEIRA DIAS	Ciências Agrárias	Agronomia	Ciência do Solo	Manejo e Conservação do Solo
DJAIL SANTOS	Ciências Agrárias	Agronomia	Ciência do Solo	Manejo e Conservação do Solo
RAUNIRA DA COSTA ARAUJO	Ciências Agrárias	Agronomia	Ciência do Solo	Manejo e Conservação do Solo
MILTON CÉSAR COSTA CAMPOS	Ciências Agrárias	Agronomia	Ciência do Solo	nan
RAPHAEL MOREIRA BEIRIGO	Ciências Agrárias	Agronomia	Ciência do Solo	nan
CARLOS HENRIQUE DE BRITO	Ciências Agrárias	Agronomia	Fitossanidade	Entomologia Agrícola
MARCOS BARROS DE MEDEIROS	Ciências Agrárias	Agronomia	Fitossanidade	Entomologia Agrícola
MARIA JOSE ARAUJO WANDERLEY	Ciências Agrárias	Agronomia	Fitossanidade	Entomologia Agrícola
LUCIANA CORDEIRO DO NASCIMENTO	Ciências Agrárias	Agronomia	Fitossanidade	Fitopatologia
DIEGO SILVA BATISTA	Ciências Agrárias	Agronomia	Fitotecnia	Fisiologia de Plantas Cultivadas
SILVANDA DE MELO SILVA	Ciências Agrárias	Agronomia	Fitotecnia	Fisiologia de Plantas Cultivadas
BELISIA LUCIA MOREIRA TOSCANO DINIZ	Ciências Agrárias	Agronomia	Fitotecnia	Manejo e Tratos Culturais
FABIO MIELEZRSKI	Ciências Agrárias	Agronomia	Fitotecnia	Manejo e Tratos Culturais
GUILHERME SILVA DE PODESTA	Ciências Agrárias	Agronomia	Fitotecnia	Manejo e Tratos Culturais
MANOEL ALEXANDRE DINIZ NETO	Ciências Agrárias	Agronomia	Fitotecnia	Manejo e Tratos Culturais
ELIZANILDA RAMALHO DO REGO	Ciências Agrárias	Agronomia	Fitotecnia	Melhoramento Vegetal
MAILSON MONTEIRO DO REGO	Ciências Agrárias	Agronomia	Fitotecnia	Melhoramento Vegetal
NAYSA FLAVIA FERREIRA DO NASCIMENTO	Ciências Agrárias	Agronomia	Fitotecnia	Melhoramento Vegetal
EDNA URSULINO ALVES	Ciências Agrárias	Agronomia	Fitotecnia	Produção e Beneficiamento de Sementes
GILVANEIDE ALVES DE AZEREDO	Ciências Agrárias	Agronomia	Fitotecnia	Produção e Beneficiamento de Sementes
SILVANIA MARIA DE SOUZA GOMES NASCIMENTO	Ciências Agrárias	Agronomia	Fitotecnia	Produção e Beneficiamento de Sementes
ALEX DA SILVA BARBOSA	Ciências Agrárias	Agronomia	Fitotecnia	nan
ALEXANDRE EDUARDO DE ARAUJO	Ciências Agrárias	Agronomia	Fitotecnia	nan
RISELANE DE LUCENA ALCANTARA BRUNO	Ciências Agrárias	Agronomia	Fitotecnia	nan
THIAGO JARDELINO DIAS	Ciências Agrárias	Agronomia	Fitotecnia	nan
LAESIO PEREIRA MARTINS	Ciências Agrárias	Ciência e Tecnologia de Alimentos	Ciência de Alimentos	Fisiologia Pós-Colheita
CYBELLE PEREIRA DE OLIVEIRA	Ciências Agrárias	Ciência e Tecnologia de Alimentos	Ciência de Alimentos	Microbiologia de Alimentos
ANDERSON FERREIRA VILELA	Ciências Agrárias	Ciência e Tecnologia de Alimentos	Tecnologia de Alimentos	Tecnologia das Bebidas
NORMANDO MENDES RIBEIRO FILHO	Ciências Agrárias	Ciência e Tecnologia de Alimentos	Tecnologia de Alimentos	Tecnologia das Bebidas
FABIO ANDERSON PEREIRA DA SILVA	Ciências Agrárias	Ciência e Tecnologia de Alimentos	Tecnologia de Alimentos	Tecnologia de Produtos de Origem Animal
IRIS BRAZ DA SILVA ARAUJO	Ciências Agrárias	Ciência e Tecnologia de Alimentos	Tecnologia de Alimentos	Tecnologia de Produtos de Origem Animal
LEONARDO AUGUSTO FONSECA PASCOAL	Ciências Agrárias	Ciência e Tecnologia de Alimentos	Tecnologia de Alimentos	Tecnologia de Produtos de Origem Animal
ADRIANA FERREIRA DOS SANTOS	Ciências Agrárias	Ciência e Tecnologia de Alimentos	Tecnologia de Alimentos	Tecnologia de Produtos de Origem Vegetal
ARIANNE DANTAS VIANA	Ciências Agrárias	Ciência e Tecnologia de Alimentos	Tecnologia de Alimentos	Tecnologia de Produtos de Origem Vegetal
IVIA CARMEM TALIERI	Ciências Agrárias	Medicina Veterinária	Clínica e Cirurgia Animal	Clínica Cirúrgica Animal
