NOME	GRANDE_AREA	AREA	SUB_AREA	ESPECIALIDADE
DAVI FELIPE FARIAS	Ciências Biológicas	Biologia Geral	nan	nan
LUIS FERNANDO MARQUES DOS SANTOS	Ciências Biológicas	Biologia Geral	nan	nan
NAIARA NAIANA DEJANI	Ciências Biológicas	Biologia Geral	nan	nan
DARLENE CAMATI PERSUHN	Ciências Biológicas	Bioquímica	Biologia Molecular	nan
ANGELA CAMILA ORBEM MENEGATTI	Ciências Biológicas	Bioquímica	Bioquímica dos Microorganismos	nan
IAN PORTO GURGEL DO AMARAL	Ciências Biológicas	Bioquímica	Enzimologia	nan
CARLOS ALBERTO DE ALMEIDA GADELHA	Ciências Biológicas	Bioquímica	Química de Macromoléculas	Proteínas
TATIANE SANTI GADELHA	Ciências Biológicas	Bioquímica	Química de Macromoléculas	Proteínas
MARIA DE FATIMA AGRA	Ciências Biológicas	Botânica	Botânica Aplicada	nan
FELIPE WARTCHOW	Ciências Biológicas	Botânica	Taxonomia Vegetal	Taxonomia de Criptógamos
JULIANA LOVO	Ciências Biológicas	Botânica	Taxonomia Vegetal	Taxonomia de Fanerógamos
BRAULIO ALMEIDA SANTOS	Ciências Biológicas	Ecologia	Ecologia Aplicada	nan
DANIEL OLIVEIRA MESQUITA	Ciências Biológicas	Ecologia	Ecologia Aplicada	nan
DENISE DIAS DA CRUZ	Ciências Biológicas	Ecologia	Ecologia Aplicada	nan
PABLO RIUL	Ciências Biológicas	Ecologia	Ecologia Aplicada	nan
ALEXANDRE VASCONCELLOS	Ciências Biológicas	Ecologia	Ecologia de Ecossistemas	nan
ANA CAROLINA FIGUEIREDO LACERDA	Ciências Biológicas	Ecologia	Ecologia de Ecossistemas	nan
RALPH LACERDA DE ALBUQUERQUE	Ciências Biológicas	Ecologia	Ecologia de Ecossistemas	nan
DEMETRIUS ANTONIO MACHADO DE ARAUJO	Ciências Biológicas	Farmacologia	Farmacologia Bioquímica e Molecular	nan
JUAN CARLOS RAMOS GONCALVES	Ciências Biológicas	Farmacologia	Farmacologia Bioquímica e Molecular	nan
PRISCILLA ANNE CASTRO DE ASSIS	Ciências Biológicas	Farmacologia	Farmacologia Bioquímica e Molecular	nan
ROBSON CAVALCANTE VERAS	Ciências Biológicas	Farmacologia	Farmacologia Cardiorenal	nan
BAGNOLIA ARAUJO COSTA	Ciências Biológicas	Farmacologia	Farmacologia Geral	Biodisponibilidade
FABIANA DE ANDRADE CAVALCANTE OLIVEIRA	Ciências Biológicas	Farmacologia	Farmacologia Geral	nan
ADRIANA MARIA FERNANDES DE OLIVEIRA GOLZIO	Ciências Biológicas	Farmacologia	Neuropsicofarmacologia	nan
CICERO FRANCISCO BEZERRA FELIPE	Ciências Biológicas	Farmacologia	Neuropsicofarmacologia	nan
SOCRATES GOLZIO DOS SANTOS	Ciências Biológicas	Farmacologia	Toxicologia	nan
CAMILLE DE MOURA BALARINI	Ciências Biológicas	Fisiologia	Fisiologia Geral	nan
NAILA FRANCIS PAULO DE OLIVEIRA	Ciências Biológicas	Genética	Genética Humana e Médica	nan
LUCIO ROBERTO CANCADO CASTELLANO	Ciências Biológicas	Imunologia	Imunologia Aplicada	nan
JOELMA RODRIGUES DE SOUZA	Ciências Biológicas	Imunologia	Imunologia Celular	nan
MARCIA REGINA PIUVEZAM	Ciências Biológicas	Imunologia	Imunologia Celular	nan
SANDRA RODRIGUES MASCARENHAS	Ciências Biológicas	Imunologia	Imunologia Celular	nan
TATJANA KEESEN DE SOUZA LIMA CLEMENTE	Ciências Biológicas	Imunologia	Imunologia Celular	nan
KRYSTYNA GORLACH LIRA	Ciências Biológicas	Microbiologia	Biologia e Fisiologia dos Microorganismos	Bacterologia
WALICYRANISON PLINIO DA SILVA ROCHA	Ciências Biológicas	Microbiologia	Biologia e Fisiologia dos Microorganismos	Micologia
ADNA CRISTINA BARBOSA DE SOUSA	Ciências Biológicas	Microbiologia	Microbiologia Aplicada	Microbiologia Industrial e de Fermentação
CALIANDRA MARIA BEZERRA LUNA LIMA	Ciências Biológicas	Microbiologia	Microbiologia Aplicada	Microbiologia Médica
ELOIZA HELENA CAMPANA	Ciências Biológicas	Microbiologia	Microbiologia Aplicada	Microbiologia Médica
LAURO SANTOS FILHO	Ciências Biológicas	Microbiologia	Microbiologia Aplicada	Microbiologia Médica
RAFAEL DE ALMEIDA TRAVASSOS	Ciências Biológicas	Microbiologia	Microbiologia Aplicada	Microbiologia Médica
RENATO ANTONIO DOS SANTOS OLIVEIRA	Ciências Biológicas	Microbiologia	Microbiologia Aplicada	Microbiologia Médica
VINICIUS PIETTA PEREZ	Ciências Biológicas	Microbiologia	Microbiologia Aplicada	Microbiologia Médica
WALLACE FELIPE BLOHEM PESSOA	Ciências Biológicas	Microbiologia	Microbiologia Aplicada	Microbiologia Médica
IVSON BEZERRA DA SILVA	Ciências Biológicas	Morfologia	Anatomia	Anatomia Humana
MARILIA GABRIELA DOS SANTOS CAVALCANTI	Ciências Biológicas	Parasitologia	Entomologia e Malacologia de Parasitos e Vetores	nan
FABIO MARCEL DA SILVA SANTOS	Ciências Biológicas	Parasitologia	Helmintologia de Parasitos	Helmintologia Humana
ANA CAROLINA BERNARDES DULGHEROFF	Ciências Biológicas	Parasitologia	Helmintologia de Parasitos	nan
JOAO PAULO CAPRETZ BATISTA DA SILVA	Ciências Biológicas	Zoologia	Morfologia dos Grupos Recentes	nan
MARCIO BERNARDINO DA SILVA	Ciências Biológicas	Zoologia	Morfologia dos Grupos Recentes	nan
ALESSANDRE PEREIRA COLAVITE	Ciências Biológicas	Zoologia	Taxonomia dos Grupos Recentes	nan
MARTIN LINDSEY CHRISTOFFERSEN	Ciências Biológicas	Zoologia	Taxonomia dos Grupos Recentes	nan
PEDRO CORDEIRO ESTRELA DE ANDRADE PINTO	Ciências Biológicas	Zoologia	Zoologia Aplicada	nan
ALEXANDRE SERGIO SILVA	Ciências da Saúde	Educação Física	nan	nan
GILMARIO RICARTE BATISTA	Ciências da Saúde	Educação Física	nan	nan
JOSE CAZUZA DE FARIAS JUNIOR	Ciências da Saúde	Educação Física	nan	nan
LEONARDO DE SOUSA FORTES	Ciências da Saúde	Educação Física	nan	nan
YTALO MOTA SOARES	Ciências da Saúde	Educação Física	nan	nan
ANA CRISTINA DE OLIVEIRA E SILVA	Ciências da Saúde	Enfermagem	Enfermagem de Doenças Contagiosas	nan
ORIANA DEYZE CORREIA PAIVA LEADEBAL	Ciências da Saúde	Enfermagem	Enfermagem de Doenças Contagiosas	nan
ANNE JAQUELYNE ROQUE BARRETO	Ciências da Saúde	Enfermagem	Enfermagem de Saúde Pública	nan
JAQUELINE QUEIROZ DE MACEDO	Ciências da Saúde	Enfermagem	Enfermagem de Saúde Pública	nan
KATIA NEYLA DE FREITAS MACEDO COSTA	Ciências da Saúde	Enfermagem	Enfermagem de Saúde Pública	nan
MARIA DE LOURDES DE FARIAS PONTES	Ciências da Saúde	Enfermagem	Enfermagem de Saúde Pública	nan
RILVA LOPES DE SOUSA MUNOZ	Ciências da Saúde	Enfermagem	Enfermagem de Saúde Pública	nan
SONIA MARIA JOSINO DOS SANTOS	Ciências da Saúde	Enfermagem	Enfermagem de Saúde Pública	nan
SUSANNE PINHEIRO COSTA E SILVA	Ciências da Saúde	Enfermagem	Enfermagem de Saúde Pública	nan
