NOME	GRANDE_AREA	AREA	SUB_AREA	ESPECIALIDADE
ZELMA GLEBYA MACIEL QUIRINO	Ciências Biológicas	Botânica	Botânica Aplicada	nan
ELAINE FOLLY RAMOS	Ciências Biológicas	Ecologia	Ecologia Aplicada	nan
FREDERICO GUSTAVO RODRIGUES FRANCA	Ciências Biológicas	Ecologia	Ecologia Aplicada	nan
NADJACLEIA VILAR ALMEIDA	Ciências Biológicas	Ecologia	Ecologia Aplicada	nan
CARLA SORAIA SOARES DE CASTRO	Ciências Biológicas	Zoologia	Comportamento Animal	nan
RAQUEL VIGOLVINO LOPES	Ciências Exatas e da Terra	Ciência da Computação	Metodologia e Técnicas da Computação	Sistemas de Informação
MILENA DUTRA DA SILVA	Ciências Exatas e da Terra	Geociências	Geografia Física	Geoecologia
LINCOLN ELOI DE ARAUJO	Ciências Exatas e da Terra	Geociências	Meteorologia	Climatologia
WILLIAME FARIAS RIBEIRO	Ciências Exatas e da Terra	Química	Química Analítica	Eletroanalítica
JOAO MARTINHO BRAGA DE MENDONCA	Ciências Humanas	Antropologia	Antropologia Urbana	nan
FABIO MURA	Ciências Humanas	Antropologia	Etnologia Indígena	nan
OSMAR HELIO ALVES ARAUJO	Ciências Humanas	Educação	Currículo	Currículos Específicos para Níveis e Tipos de Educação
ALINE CLEIDE BATISTA	Ciências Humanas	Educação	Currículo	Teoria Geral de Planejamento e Desenvolvimento Curricular
FRANCISCA TEREZINHA OLIVEIRA ALVES	Ciências Humanas	Educação	Currículo	nan
FRANCYMARA ANTONINO NUNES DE ASSIS	Ciências Humanas	Educação	Fundamentos da Educação	História da Educação
JOSE JASSUIPE DA SILVA MORAIS	Ciências Humanas	Educação	Fundamentos da Educação	História da Educação
IVONALDO NERES LEITE	Ciências Humanas	Educação	Fundamentos da Educação	Sociologia da Educação
ANA MARIA MAGALHAES CORREIA	Ciências Sociais Aplicadas	Administração	Administração de Empresas	Administração da Produção
THALES BATISTA DE LIMA	Ciências Sociais Aplicadas	Administração	Administração de Empresas	Administração de Recursos Humanos
ROSIELE FERNANDES PINTO	Ciências Sociais Aplicadas	Administração	Administração de Empresas	Mercadologia
MARIA ANGELUCE SOARES PERONICO BARBOTIN	Ciências Sociais Aplicadas	Administração	Administração de Setores Específicos	nan
MARCIA MARIA DE MEDEIROS TRAVASSOS SAEGER	Ciências Sociais Aplicadas	Administração	Administração Pública	Organizações Públicas
JOSICARLA SOARES SANTIAGO	Ciências Sociais Aplicadas	Administração	Ciências Contábeis	nan
JULIO AFONSO SA DE PINHO NETO	Ciências Sociais Aplicadas	Ciência da Informação	Teoria da Informação	Teoria Geral da Informação
ANGELICA DE SOUZA GALDINO ACIOLY	Ciências Sociais Aplicadas	Desenho Industrial	Desenho de Produto	nan
GUSTAVO DE FIGUEIREDO BRITO	Ciências Sociais Aplicadas	Desenho Industrial	Desenho de Produto	nan
LEANDRO LOPES PEREIRA	Ciências Sociais Aplicadas	Desenho Industrial	Desenho de Produto	nan
RENATO FONSECA LIVRAMENTO DA SILVA	Ciências Sociais Aplicadas	Desenho Industrial	Desenho de Produto	nan
WASHINGTON FERREIRA SILVA	Ciências Sociais Aplicadas	Desenho Industrial	Desenho de Produto	nan
RENATA MONTEIRO GARCIA	Ciências Sociais Aplicadas	Direito	Teoria do Direito	Sociologia Jurídica
LOUISE BRASILEIRO QUIRINO BRITO	Engenharias	Engenharia de Produção	Gerência de Produção	Planejamento Projeto e Controle de Sistemas de Produção
ROSEANE BATISTA FEITOSA NICOLAU	Lingüística Letras e Artes	Letras	Língua Portuguesa	nan
JOSE VERANILDO LOPES DA COSTA JUNIOR	Lingüística Letras e Artes	Letras	Literatura Brasileira	nan
MICHELLE BIANCA SANTOS DANTAS	Lingüística Letras e Artes	Letras	Literaturas Clássicas	nan
LUCIANE ALVES SANTOS	Lingüística Letras e Artes	Letras	Teoria Literária	nan
LAURENIA SOUTO SALES	Lingüística Letras e Artes	Lingüística	Lingüística Aplicada	nan
SANDRA MARIA ARAUJO DIAS	Lingüística Letras e Artes	Lingüística	Lingüística Aplicada	nan
ERIVALDO PEREIRA DO NASCIMENTO	Lingüística Letras e Artes	Lingüística	Teoria e Análise Lingüística	nan
FRANCISCA JANETE DA SILVA ADELINO	Lingüística Letras e Artes	Lingüística	Teoria e Análise Lingüística	nan
AYLA DEBORA DANTAS DE SOUZA REBOUCAS	Multidisciplinar	Ensino	Ensino de Ciências e Matemática	nan
